स्वर्,A,1.1.6
स्वर्ग,P,1.1.6
नाक,P,1.1.6
त्रिदिव,P,1.1.6
त्रिदशालय,P,1.1.6
सुरलोक,P,1.1.6
द्यो,S,1.1.6
दिव्,S,1.1.6
त्रिविष्टप,N,1.1.6
अमर,P,1.1.7
निर्जर,P,1.1.7
देव,P,1.1.7
त्रिदश,P,1.1.7
विबुध,P,1.1.7
सुर,P,1.1.7
सुपर्वन्,P,1.1.7
सुमनस्,P,1.1.7
त्रिदिवेश,P,1.1.7
दिवौकस्,P,1.1.7
आदितेय,P,1.1.8
दिविषद्,P,1.1.8
लेख,P,1.1.8
अदितिनन्दन,P,1.1.8
आदित्य,P,1.1.8
ऋभव,P,1.1.8
अस्वप्न,P,1.1.8
अमर्त्य,P,1.1.8
अमृतान्धस्,P,1.1.8
बर्हिर्मुख,P,1.1.9
क्रतुभुज्,P,1.1.9
गीर्वाण,P,1.1.9
दानवारि,P,1.1.9
वृन्दारक,P,1.1.9
दैवत,PN,1.1.9
देवता,S,1.1.9
आदित्य,P,1.1.10
विश्व,N,1.1.10
वसु,PB,1.1.10
तुषित,PB,1.1.10
आभास्वर,P,1.1.10
अनिल,P,1.1.10
महाराजिक,PB,1.1.10
साध्य,PB,1.1.10
रुद्र,P,1.1.10
विद्याधर,P,1.1.11
अप्सरस्,SB,1.1.11
यक्ष,P,1.1.11
रक्षस्,P,1.1.11
गन्धर्व,P,1.1.11
किन्नर,P,1.1.11
पिशाच,P,1.1.11
गुह्यक,P,1.1.11
सिद्ध,P,1.1.11
भूत,N,1.1.11
असुर,P,1.1.12
दैत्य,P,1.1.12
दैतेय,P,1.1.12
दनुज,P,1.1.12
इन्द्रारि,P,1.1.12
दानव,P,1.1.12
शुक्रशिष्य,P,1.1.12
दितिसुत,P,1.1.12
पूर्वदेव,P,1.1.12
सुरद्विष्,P,1.1.12
सर्वज्ञ,P,1.1.13
सुगत,P,1.1.13
बुद्ध,P,1.1.13
धर्मराज,P,1.1.13
तथागत,P,1.1.13
समन्तभद्र,P,1.1.13
भगवत्,P,1.1.13
मारजित्,P,1.1.13
लोकजित्,P,1.1.13
जिन,P,1.1.13
षडभिज्ञ,P,1.1.14
दशबल,P,1.1.14
अद्वयवादिन्,P,1.1.14
विनायक,P,1.1.14
मुनीन्द्र,P,1.1.14
श्रीघन,P,1.1.14
शास्तृ,P,1.1.14
मुनि,P,1.1.14
शाक्यमुनि,P,1.1.14
शाक्यसिंह,P,1.1.15
सर्वार्थसिद्ध,P,1.1.15
शौद्धोदनि,P,1.1.15
गौतम,P,1.1.15
अर्कबन्धु,P,1.1.15
मायादेवीसुत,P,1.1.15
ब्रह्मन्,P,1.1.16
आत्मभू,P,1.1.16
